Run_number: 4289 | Ap_exp: 0.0769231 | errAexp: 0.276528
Run_number: 4290 | Ap_exp: -0.230769 | errAexp: 0.269864
Run_number: 4292 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 4293 | Ap_exp: -1 | errAexp: 0
Run_number: 4294 | Ap_exp: -1 | errAexp: 0
Run_number: 4297 | Ap_exp: 0.0909091 | errAexp: 0.300263
Run_number: 4298 | Ap_exp: 0.230769 | errAexp: 0.269864
Run_number: 4299 | Ap_exp: -nan | errAexp: -nan
Run_number: 4300 | Ap_exp: -0.666667 | errAexp: 0.30429
Run_number: 4302 | Ap_exp: -nan | errAexp: -nan
Run_number: 4303 | Ap_exp: 0.230769 | errAexp: 0.269864
Run_number: 4304 | Ap_exp: -0.428571 | errAexp: 0.341494
Run_number: 4305 | Ap_exp: 0.5 | errAexp: 0.306186
Run_number: 4307 | Ap_exp: -0.384615 | errAexp: 0.256015
Run_number: 4308 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 4309 | Ap_exp: -1 | errAexp: 0
Run_number: 4310 | Ap_exp: 1 | errAexp: 0
Run_number: 4311 | Ap_exp: 0.636364 | errAexp: 0.232583
Run_number: 4315 | Ap_exp: 0.142857 | errAexp: 0.374088
Run_number: 4316 | Ap_exp: 0.333333 | errAexp: 0.544331
Run_number: 4320 | Ap_exp: 0.230769 | errAexp: 0.269864
Run_number: 4321 | Ap_exp: -0.333333 | errAexp: 0.544331
Run_number: 4323 | Ap_exp: -0.2 | errAexp: 0.438178
Run_number: 4324 | Ap_exp: 0.111111 | errAexp: 0.331269
Run_number: 4328 | Ap_exp: 0.444444 | errAexp: 0.211144
Run_number: 4329 | Ap_exp: -0.333333 | errAexp: 0.243432
Run_number: 4330 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 4331 | Ap_exp: -1 | errAexp: 0
Run_number: 4332 | Ap_exp: -1 | errAexp: 0
Run_number: 4333 | Ap_exp: -0.2 | errAexp: 0.252982
Run_number: 4334 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 4335 | Ap_exp: 1 | errAexp: 0
Run_number: 4339 | Ap_exp: -0.6 | errAexp: 0.357771
Run_number: 4341 | Ap_exp: 0.230769 | errAexp: 0.269864
Run_number: 4343 | Ap_exp: -0.272727 | errAexp: 0.290081
Run_number: 4344 | Ap_exp: 0.6 | errAexp: 0.357771
Run_number: 4354 | Ap_exp: 0.5 | errAexp: 0.306186
