Run_number: 5678 | Aexp: 0.714286 | errAexp: 0.26452 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5679 | Aexp: 0.25 | errAexp: 0.342327 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5683 | Aexp: -0.777778 | errAexp: 0.209513 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5685 | Aexp: 0.142857 | errAexp: 0.374088 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5686 | Aexp: -1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5688 | Aexp: 0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5690 | Aexp: 0.625 | errAexp: 0.195156 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5691 | Aexp: 0.2 | errAexp: 0.309839 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5692 | Aexp: 0 | errAexp: 0.288675 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5693 | Aexp: -0.2 | errAexp: 0.252982 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5694 | Aexp: -0.230769 | errAexp: 0.269864 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5696 | Aexp: 0.142857 | errAexp: 0.21598 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5697 | Aexp: -0.111111 | errAexp: 0.331269 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5698 | Aexp: -0.222222 | errAexp: 0.229809 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5699 | Aexp: 0.2 | errAexp: 0.309839 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5700 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5702 | Aexp: 0.142857 | errAexp: 0.26452 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5703 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5704 | Aexp: 0.333333 | errAexp: 0.31427 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5705 | Aexp: -0.0588235 | errAexp: 0.242116 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5706 | Aexp: -0.0769231 | errAexp: 0.276528 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5707 | Aexp: 0 | errAexp: 0.223607 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5708 | Aexp: -0.75 | errAexp: 0.233854 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5709 | Aexp: -0.047619 | errAexp: 0.21797 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5710 | Aexp: 0.4 | errAexp: 0.289828 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5711 | Aexp: -0.166667 | errAexp: 0.284638 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5712 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5713 | Aexp: -0.272727 | errAexp: 0.290081 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5714 | Aexp: 0.181818 | errAexp: 0.209647 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5715 | Aexp: -nan | errAexp: -nan | pol_He3: -1 | pol_beam: 80.795
Run_number: 5717 | Aexp: 0.2 | errAexp: 0.309839 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5718 | Aexp: -0.2 | errAexp: 0.309839 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5721 | Aexp: 0.428571 | errAexp: 0.341494 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5722 | Aexp: 0.111111 | errAexp: 0.331269 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5723 | Aexp: 0.294118 | errAexp: 0.231808 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5724 | Aexp: -0.5 | errAexp: 0.193649 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5725 | Aexp: 0.25 | errAexp: 0.242061 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5726 | Aexp: -0.2 | errAexp: 0.438178 | pol_He3: -1 | pol_beam: 80.795
