Run_number: 3966 | Aexp: -0.0769231 | errAexp: 0.276528 | pol_He3: 51.3384 | pol_beam: 82.334
Run_number: 3967 | Aexp: -1 | errAexp: 0 | pol_He3: 52.1418 | pol_beam: 82.334
Run_number: 3968 | Aexp: 0 | errAexp: 0.408248 | pol_He3: 53.4138 | pol_beam: 82.334
Run_number: 3970 | Aexp: -0.0909091 | errAexp: 0.212318 | pol_He3: 53.1726 | pol_beam: 82.334
Run_number: 3972 | Aexp: -0.333333 | errAexp: 0.272166 | pol_He3: 53.0024 | pol_beam: 82.334
Run_number: 3973 | Aexp: 0.0909091 | errAexp: 0.300263 | pol_He3: 52.9241 | pol_beam: 82.334
Run_number: 3974 | Aexp: 0.333333 | errAexp: 0.3849 | pol_He3: 52.8385 | pol_beam: 82.334
Run_number: 3975 | Aexp: 0.111111 | errAexp: 0.331269 | pol_He3: 52.7553 | pol_beam: 82.334
Run_number: 3976 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: 52.7827 | pol_beam: 82.334
Run_number: 3977 | Aexp: -0.6 | errAexp: 0.252982 | pol_He3: 53.0546 | pol_beam: 82.334
Run_number: 3978 | Aexp: -0.2 | errAexp: 0.438178 | pol_He3: 53.6301 | pol_beam: 82.334
Run_number: 3980 | Aexp: 0.333333 | errAexp: 0.544331 | pol_He3: 53.7959 | pol_beam: 82.334
Run_number: 3981 | Aexp: -1 | errAexp: 0 | pol_He3: 53.9726 | pol_beam: 82.334
Run_number: 3983 | Aexp: 0.333333 | errAexp: 0.544331 | pol_He3: 54.017 | pol_beam: 82.334
Run_number: 3985 | Aexp: -0.2 | errAexp: 0.309839 | pol_He3: 53.8183 | pol_beam: 82.334
Run_number: 3986 | Aexp: 0 | errAexp: 0.707107 | pol_He3: 52.3928 | pol_beam: 82.334
Run_number: 3996 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: 51.8445 | pol_beam: 82.334
Run_number: 3998 | Aexp: 0 | errAexp: 0.5 | pol_He3: 50.536 | pol_beam: 82.334
Run_number: 4023 | Aexp: -1 | errAexp: 0 | pol_He3: 50.5074 | pol_beam: 82.334
Run_number: 4024 | Aexp: 1 | errAexp: 0 | pol_He3: 50.4472 | pol_beam: 82.334
Run_number: 4025 | Aexp: 0.428571 | errAexp: 0.341494 | pol_He3: 50.3539 | pol_beam: 82.334
Run_number: 4027 | Aexp: 1 | errAexp: 0 | pol_He3: 50.2877 | pol_beam: 82.334
Run_number: 4028 | Aexp: -0.4 | errAexp: 0.289828 | pol_He3: 50.1985 | pol_beam: 82.334
Run_number: 4029 | Aexp: 0.4 | errAexp: 0.289828 | pol_He3: 50.3412 | pol_beam: 82.334
Run_number: 4030 | Aexp: 0.333333 | errAexp: 0.544331 | pol_He3: 50.4424 | pol_beam: 82.334
Run_number: 4031 | Aexp: -0.714286 | errAexp: 0.26452 | pol_He3: 50.5897 | pol_beam: 82.334
Run_number: 4032 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: 50.7954 | pol_beam: 82.334
Run_number: 4034 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: 50.8581 | pol_beam: 82.334
Run_number: 4035 | Aexp: -0.2 | errAexp: 0.438178 | pol_He3: 50.9327 | pol_beam: 82.334
Run_number: 4036 | Aexp: -1 | errAexp: 0 | pol_He3: 50.9717 | pol_beam: 82.334
Run_number: 4037 | Aexp: 0 | errAexp: 0.5 | pol_He3: 51.043 | pol_beam: 82.334
Run_number: 4038 | Aexp: 0.5 | errAexp: 0.433013 | pol_He3: 51.121 | pol_beam: 82.334
Run_number: 4043 | Aexp: 0 | errAexp: 0.707107 | pol_He3: 51.182 | pol_beam: 82.334
Run_number: 4044 | Aexp: -0.25 | errAexp: 0.342327 | pol_He3: 51.2464 | pol_beam: 82.334
Run_number: 4046 | Aexp: 0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 82.334
Run_number: 4048 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 82.334
Run_number: 4051 | Aexp: -0.333333 | errAexp: 0.31427 | pol_He3: -1 | pol_beam: 82.334
Run_number: 4052 | Aexp: 0.333333 | errAexp: 0.3849 | pol_He3: -1 | pol_beam: 82.334
Run_number: 4053 | Aexp: 0.2 | errAexp: 0.309839 | pol_He3: -1 | pol_beam: 82.334
Run_number: 4054 | Aexp: -0.4 | errAexp: 0.289828 | pol_He3: -1 | pol_beam: 82.334
Run_number: 4055 | Aexp: 0 | errAexp: 0.5 | pol_He3: -1 | pol_beam: 82.334
Run_number: 4056 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 82.334
