Run_number: 4079 | Ap_exp: 0.2 | errAexp: 0.178885
Run_number: 4080 | Ap_exp: -0.0793651 | errAexp: 0.125591
Run_number: 4081 | Ap_exp: -0.333333 | errAexp: 0.544331
Run_number: 4082 | Ap_exp: -0.235294 | errAexp: 0.166684
Run_number: 4083 | Ap_exp: -0.116279 | errAexp: 0.151464
Run_number: 4084 | Ap_exp: 0.03125 | errAexp: 0.124939
Run_number: 4085 | Ap_exp: -0.122807 | errAexp: 0.131451
Run_number: 4086 | Ap_exp: -0.310345 | errAexp: 0.176526
Run_number: 4087 | Ap_exp: -0.384615 | errAexp: 0.18103
Run_number: 4088 | Ap_exp: 0 | errAexp: 0.176777
Run_number: 4089 | Ap_exp: 0.533333 | errAexp: 0.15444
Run_number: 4091 | Ap_exp: -0.263158 | errAexp: 0.221329
Run_number: 4092 | Ap_exp: 0.25 | errAexp: 0.242061
Run_number: 4093 | Ap_exp: -0.555556 | errAexp: 0.27716
Run_number: 4094 | Ap_exp: -0.333333 | errAexp: 0.3849
Run_number: 4095 | Ap_exp: -0.25 | errAexp: 0.197642
Run_number: 4096 | Ap_exp: 0 | errAexp: 0.267261
Run_number: 4097 | Ap_exp: 0.375 | errAexp: 0.231756
Run_number: 4098 | Ap_exp: 0.04 | errAexp: 0.19984
Run_number: 4099 | Ap_exp: 0.0769231 | errAexp: 0.138264
Run_number: 4100 | Ap_exp: -0.106383 | errAexp: 0.145037
Run_number: 4101 | Ap_exp: -0.151515 | errAexp: 0.172068
Run_number: 4102 | Ap_exp: -0.266667 | errAexp: 0.175963
Run_number: 4103 | Ap_exp: -0.473684 | errAexp: 0.202045
Run_number: 4104 | Ap_exp: 0.0384615 | errAexp: 0.138572
Run_number: 4105 | Ap_exp: 0.111111 | errAexp: 0.125208
Run_number: 4106 | Ap_exp: -0.0909091 | errAexp: 0.300263
Run_number: 4107 | Ap_exp: 0 | errAexp: 0.223607
Run_number: 4114 | Ap_exp: 0.210526 | errAexp: 0.158586
Run_number: 4115 | Ap_exp: 0.05 | errAexp: 0.157916
Run_number: 4116 | Ap_exp: 0.466667 | errAexp: 0.22836
Run_number: 4117 | Ap_exp: 0 | errAexp: 0.117851
Run_number: 4118 | Ap_exp: -0.219512 | errAexp: 0.152365
Run_number: 4119 | Ap_exp: 0.243243 | errAexp: 0.159461
Run_number: 4120 | Ap_exp: 0.0571429 | errAexp: 0.119328
Run_number: 4121 | Ap_exp: -0.2 | errAexp: 0.165616
Run_number: 4122 | Ap_exp: 0.333333 | errAexp: 0.31427
Run_number: 4155 | Ap_exp: -0.030303 | errAexp: 0.173998
Run_number: 4156 | Ap_exp: -0.5 | errAexp: 0.144338
Run_number: 4159 | Ap_exp: -0.454545 | errAexp: 0.268563
Run_number: 4160 | Ap_exp: -0.2 | errAexp: 0.195959
Run_number: 4164 | Ap_exp: 0 | errAexp: 0.158114
Run_number: 4165 | Ap_exp: -0.102041 | errAexp: 0.142111
Run_number: 4167 | Ap_exp: 0.125 | errAexp: 0.143205
Run_number: 4168 | Ap_exp: 0.384615 | errAexp: 0.147811
Run_number: 4169 | Ap_exp: 0.05 | errAexp: 0.157916
Run_number: 4170 | Ap_exp: -0.181818 | errAexp: 0.148243
Run_number: 4171 | Ap_exp: 0.0222222 | errAexp: 0.149034
Run_number: 4172 | Ap_exp: 0.15 | errAexp: 0.156325
Run_number: 4173 | Ap_exp: -0.0461538 | errAexp: 0.123903
Run_number: 4174 | Ap_exp: 0.263158 | errAexp: 0.221329
Run_number: 4175 | Ap_exp: -0.222222 | errAexp: 0.13268
Run_number: 4176 | Ap_exp: -0.142857 | errAexp: 0.141392
Run_number: 4178 | Ap_exp: -0.176471 | errAexp: 0.13783
Run_number: 4179 | Ap_exp: 0.0526316 | errAexp: 0.13227
Run_number: 4180 | Ap_exp: -0.0952381 | errAexp: 0.108613
Run_number: 4181 | Ap_exp: -0.0666667 | errAexp: 0.128812
Run_number: 4182 | Ap_exp: 0.0410959 | errAexp: 0.116942
Run_number: 4186 | Ap_exp: -0.116279 | errAexp: 0.151464
