dataset,panel,paper,Q2,value,stat_err,sys_err,total_err
global_fit_ye,ratio,Ye,0.0010351,0.0005131360584471743,,9.784014572108373e-06,9.784014572108373e-06
global_fit_ye,ratio,Ye,0.0010471,0.0005190642966894021,,9.90339373169755e-06,9.90339373169755e-06
global_fit_ye,ratio,Ye,0.0010593,0.0005250608697009246,,1.0026206369279933e-05,1.0026206369279933e-05
global_fit_ye,ratio,Ye,0.0010715,0.0005311265805739836,,1.0152351585862063e-05,1.0152351585862063e-05
global_fit_ye,ratio,Ye,0.0010839,0.0005372621787090357,,1.0281746455293717e-05,1.0281746455293717e-05
global_fit_ye,ratio,Ye,0.0010965,0.0005434685198188799,,1.0414292098205106e-05,1.0414292098205106e-05
global_fit_ye,ratio,Ye,0.0011092,0.0005497463521489336,,1.054991756818425e-05,1.054991756818425e-05
global_fit_ye,ratio,Ye,0.001122,0.0005560966327714183,,1.0688554016063316e-05,1.0688554016063316e-05
global_fit_ye,ratio,Ye,0.001135,0.0005625199086642508,,1.0830130477885225e-05,1.0830130477885225e-05
global_fit_ye,ratio,Ye,0.0011482,0.0005690173383340686,,1.0974598141039813e-05,1.0974598141039813e-05
global_fit_ye,ratio,Ye,0.0011614,0.0005755896251780167,,1.1121897145996053e-05,1.1121897145996053e-05
global_fit_ye,ratio,Ye,0.0011749,0.0005822375144477616,,1.1271986498390808e-05,1.1271986498390808e-05
global_fit_ye,ratio,Ye,0.0011885,0.0005889620667024163,,1.1424817455821047e-05,1.1424817455821047e-05
global_fit_ye,ratio,Ye,0.0012023,0.0005957641855952336,,1.1580360175617502e-05,1.1580360175617502e-05
global_fit_ye,ratio,Ye,0.0012162,0.0006026445144593496,,1.1738573651343128e-05,1.1738573651343128e-05
global_fit_ye,ratio,Ye,0.0012303,0.000609604116023998,,1.1899459192878534e-05,1.1899459192878534e-05
global_fit_ye,ratio,Ye,0.0012445,0.0006166439324709346,,1.2062975793997093e-05,1.2062975793997093e-05
global_fit_ye,ratio,Ye,0.0012589,0.0006237647278694521,,1.222911481781219e-05,1.222911481781219e-05
global_fit_ye,ratio,Ye,0.0012735,0.0006309676062562199,,1.2397876477442531e-05,1.2397876477442531e-05
global_fit_ye,ratio,Ye,0.0012882,0.0006382534077861725,,1.2569249734105014e-05,1.2569249734105014e-05
global_fit_ye,ratio,Ye,0.0013032,0.0006456231635179735,,1.2743237321304228e-05,1.2743237321304228e-05
global_fit_ye,ratio,Ye,0.0013183,0.0006530776838468684,,1.2919845658667708e-05,1.2919845658667708e-05
global_fit_ye,ratio,Ye,0.0013335,0.0006606180667592141,,1.3099078840585185e-05,1.3099078840585185e-05
global_fit_ye,ratio,Ye,0.001349,0.000668245285180366,,1.3280974530480161e-05,1.3280974530480161e-05
global_fit_ye,ratio,Ye,0.0013646,0.0006759603087779849,,1.3465534321754443e-05,1.3465534321754443e-05
global_fit_ye,ratio,Ye,0.0013804,0.0006837641420065772,,1.3652798511532531e-05,1.3652798511532531e-05
global_fit_ye,ratio,Ye,0.0013964,0.0006916577201957452,,1.3842786050420408e-05,1.3842786050420408e-05
global_fit_ye,ratio,Ye,0.0014125,0.000699642215615744,,1.4035538625787522e-05,1.4035538625787522e-05
global_fit_ye,ratio,Ye,0.0014289,0.000707718632932523,,1.423108660225339e-05,1.423108660225339e-05
global_fit_ye,ratio,Ye,0.0014454,0.0007158879768927478,,1.4429490349520638e-05,1.4429490349520638e-05
global_fit_ye,ratio,Ye,0.0014622,0.000724151279925214,,1.4630798804799058e-05,1.4630798804799058e-05
global_fit_ye,ratio,Ye,0.0014791,0.0007325097910750379,,1.4835045313174192e-05,1.4835045313174192e-05
global_fit_ye,ratio,Ye,0.0014962,0.0007409643695733112,,1.5042307342218032e-05,1.5042307342218032e-05
global_fit_ye,ratio,Ye,0.0015136,0.0007495162180518806,,1.5252635303825737e-05,1.5252635303825737e-05
global_fit_ye,ratio,Ye,0.0015311,0.000758166390720608,,1.546609270978052e-05,1.546609270978052e-05
global_fit_ye,ratio,Ye,0.0015488,0.0007669161421704189,,1.5682766989395146e-05,1.5682766989395146e-05
global_fit_ye,ratio,Ye,0.0015668,0.000775766630314721,,1.590272179725386e-05,1.590272179725386e-05
global_fit_ye,ratio,Ye,0.0015849,0.0007847188062468555,,1.612602451667976e-05,1.612602451667976e-05
global_fit_ye,ratio,Ye,0.0016032,0.0007937739523025229,,1.635277728865698e-05,1.635277728865698e-05
global_fit_ye,ratio,Ye,0.0016218,0.0008029331741137735,,1.658305073524755e-05,1.658305073524755e-05
global_fit_ye,ratio,Ye,0.0016406,0.0008121976962626557,,1.6816943754493645e-05,1.6816943754493645e-05
global_fit_ye,ratio,Ye,0.0016596,0.0008215688862440849,,1.7054550368575976e-05,1.7054550368575976e-05
global_fit_ye,ratio,Ye,0.0016788,0.0008310476864817655,,1.729595791161696e-05,1.729595791161696e-05
global_fit_ye,ratio,Ye,0.0016982,0.0008406355684880301,,1.7541280418632386e-05,1.7541280418632386e-05
global_fit_ye,ratio,Ye,0.0017179,0.0008503335711576775,,1.779060522061486e-05,1.779060522061486e-05
global_fit_ye,ratio,Ye,0.0017378,0.0008601430839807342,,1.8044064803410385e-05,1.8044064803410385e-05
global_fit_ye,ratio,Ye,0.0017579,0.0008700653133281559,,1.8301749918644276e-05,1.8301749918644276e-05
global_fit_ye,ratio,Ye,0.0017783,0.0008801016658139145,,1.8563791373338288e-05,1.8563791373338288e-05
global_fit_ye,ratio,Ye,0.0017989,0.0008902532479566801,,1.8830300090368154e-05,1.8830300090368154e-05
global_fit_ye,ratio,Ye,0.0018197,0.0009005214665910135,,1.910139685040643e-05,1.910139685040643e-05
global_fit_ye,ratio,Ye,0.0018408,0.0009109077286674011,,1.9377212594135365e-05,1.9377212594135365e-05
global_fit_ye,ratio,Ye,0.0018621,0.0009214133411816485,,1.9657878290197133e-05,1.9657878290197133e-05
global_fit_ye,ratio,Ye,0.0018836,0.0009320396112449085,,1.9943524892264766e-05,1.9943524892264766e-05
global_fit_ye,ratio,Ye,0.0019055,0.0009427878460849955,,2.0234283386175718e-05,2.0234283386175718e-05
global_fit_ye,ratio,Ye,0.0019275,0.0009536596532715139,,2.053029480263956e-05,2.053029480263956e-05
global_fit_ye,ratio,Ye,0.0019498,0.0009646562402019843,,2.0831700234333056e-05,2.0831700234333056e-05
global_fit_ye,ratio,Ye,0.0019724,0.0009757792122727278,,2.113865289277836e-05,2.113865289277836e-05
global_fit_ye,ratio,Ye,0.0019953,0.0009870297831014892,,2.1451299739837824e-05,2.1451299739837824e-05
global_fit_ye,ratio,Ye,0.0020184,0.000998409557228018,,2.176979392233649e-05,2.176979392233649e-05
global_fit_ye,ratio,Ye,0.0020417,0.001009919543382953,,2.2094278993465414e-05,2.2094278993465414e-05
global_fit_ye,ratio,Ye,0.0020654,0.0010215622497998398,,2.2424931685001966e-05,2.2424931685001966e-05
global_fit_ye,ratio,Ye,0.0020893,0.001033338487505636,,2.2761907861464795e-05,2.2761907861464795e-05
global_fit_ye,ratio,Ye,0.0021135,0.0010452500597989754,,2.3105354234592824e-05,2.3105354234592824e-05
global_fit_ye,ratio,Ye,0.002138,0.0010572981830042558,,2.3455476765006392e-05,2.3455476765006392e-05
global_fit_ye,ratio,Ye,0.0021627,0.0010694848700119925,,2.3812416959185615e-05,2.3812416959185615e-05
global_fit_ye,ratio,Ye,0.0021878,0.0010818109165627034,,2.4176361526314402e-05,2.4176361526314402e-05
global_fit_ye,ratio,Ye,0.0022131,0.0010942774371798187,,2.4547474158355934e-05,2.4547474158355934e-05
global_fit_ye,ratio,Ye,0.0022387,0.0011068885540869353,,2.4925969117119585e-05,2.4925969117119585e-05
global_fit_ye,ratio,Ye,0.0022646,0.0011196431663432155,,2.5311995327130576e-05,2.5311995327130576e-05
global_fit_ye,ratio,Ye,0.0022909,0.0011325452857771704,,2.57057645229525e-05,2.57057645229525e-05
global_fit_ye,ratio,Ye,0.0023174,0.0011455939199685797,,2.610745818702796e-05,2.610745818702796e-05
global_fit_ye,ratio,Ye,0.0023442,0.0011587931970852656,,2.651727084061583e-05,2.651727084061583e-05
global_fit_ye,ratio,Ye,0.0023714,0.0011721440134940333,,2.6935401493345432e-05,2.6935401493345432e-05
global_fit_ye,ratio,Ye,0.0023988,0.0011856473790514894,,2.7362051996611474e-05,2.7362051996611474e-05
global_fit_ye,ratio,Ye,0.0024266,0.0011993054247376978,,2.779742684742212e-05,2.779742684742212e-05
global_fit_ye,ratio,Ye,0.0024547,0.0012131200443943788,,2.8241735233412204e-05,2.8241735233412204e-05
global_fit_ye,ratio,Ye,0.0024831,0.0012270932493695659,,2.8695189182075003e-05,2.8695189182075003e-05
global_fit_ye,ratio,Ye,0.0025119,0.0012412261744629205,,2.9158003314766353e-05,2.9158003314766353e-05
global_fit_ye,ratio,Ye,0.002541,0.0012555217109721515,,2.9630387106655154e-05,2.9630387106655154e-05
global_fit_ye,ratio,Ye,0.0025704,0.0012699798688547632,,3.0112582316654805e-05,3.0112582316654805e-05
global_fit_ye,ratio,Ye,0.0026002,0.0012846047908111754,,3.060479424312152e-05,3.060479424312152e-05
global_fit_ye,ratio,Ye,0.0026303,0.0012993963615120054,,3.110725202985932e-05,3.110725202985932e-05
global_fit_ye,ratio,Ye,0.0026607,0.0013143577260904104,,3.162020098585522e-05,3.162020098585522e-05
global_fit_ye,ratio,Ye,0.0026915,0.0013294907687655118,,3.214387039339719e-05,3.214387039339719e-05
global_fit_ye,ratio,Ye,0.0027227,0.0013447966361088933,,3.2678505677851136e-05,3.2678505677851136e-05
global_fit_ye,ratio,Ye,0.0027542,0.0013602772097787445,,3.322433597203722e-05,3.322433597203722e-05
global_fit_ye,ratio,Ye,0.0027861,0.0013759356420429006,,3.3781627118800954e-05,3.3781627118800954e-05
global_fit_ye,ratio,Ye,0.0028184,0.0013917738120158363,,3.4350608368239684e-05,3.4350608368239684e-05
global_fit_ye,ratio,Ye,0.002851,0.00140779187235393,,3.4931555387616717e-05,3.4931555387616717e-05
global_fit_ye,ratio,Ye,0.002884,0.0014239948453943678,,3.5524711241864e-05,3.5524711241864e-05
global_fit_ye,ratio,Ye,0.0029174,0.0014403816029128396,,3.613034484058775e-05,3.613034484058775e-05
